id,Season,City,date,team1,team2,TossWin,TossDecision,result,dl_applied,win_by_runs,win_by_wickets,Player_of_Match,Venue,umpire1,umpire2,umpire3
1,2021,Dubai,12-07-2019,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,27,0,F du Plessis,Dubai International Cricket Stadium,Nitin Menon,RK Illingworth,
2,2021,Sharjah,13-07-2019,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,3,VR Iyer,Sharjah Cricket Stadium,KN Ananthapadmanabhan,MA Gough,
3,2021,Sharjah,14-07-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,0,0,4,SP Narine,Sharjah Cricket Stadium,CB Gaffaney,VK Sharma,
4,2021,Dubai,15-07-2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,3,RD Gaikwad,Dubai International Cricket Stadium,Nitin Menon,RK Illingworth,
5,2021,Dubai,16-07-2019,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,KS Bharat,Dubai International Cricket Stadium,KN Ananthapadmanabhan,Nitin Menon,
6,2021,Abu Dhabi,17-07-2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,42,0,Ishan Kishan,"Zayed Cricket Stadium, Abu Dhabi",Tapan Sharma,VK Sharma,
7,2021,Sharjah,18-07-2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,86,0,Shivam Mavi,Sharjah Cricket Stadium,MA Gough,HAS Khalid,
8,2021,Dubai,19-07-2019,Chennai Super Kings,Punjab Kings,Punjab Kings,field,normal,0,0,6,KL Rahul,Dubai International Cricket Stadium,K Srinivasan,RK Illingworth,
9,2021,Abu Dhabi,20-07-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,4,0,KS Williamson,"Zayed Cricket Stadium, Abu Dhabi",S Ravi,UV Gandhe,
10,2021,Sharjah,21-07-2019,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,0,8,NM Coulter-Nile,Sharjah Cricket Stadium,AK Chaudhary,MA Gough,
11,2021,Dubai,22-07-2019,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,0,7,AR Patel,Dubai International Cricket Stadium,AK Chaudhary,Nitin Menon,
12,2021,Sharjah,23-07-2019,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,34,0,GJ Maxwell,Sharjah Cricket Stadium,KN Ananthapadmanabhan,RK Illingworth,
13,2021,Dubai,24-07-2019,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,0,6,Shubman Gill,Dubai International Cricket Stadium,J Madanagopal,MA Gough,
